,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_type,policy_level
53,Washington,No,1,Bachelor,Employed,M,Suburban,Single,4,Agent,Four-Door Car,2,P,3
54,California,No,3,Bachelor,Other,M,Suburban,Married,1,Branch,Four-Door Car,1,P,2
55,Arizona,No,2,College,Employed,F,Suburban,Single,3,Call Center,Four-Door Car,1,C,3
56,California,No,1,College,Employed,M,Urban,Married,2,Branch,Four-Door Car,2,S,2
57,Arizona,No,1,High School or Below,Unemployed,F,Suburban,Married,1,Call Center,SUV,1,P,2
58,Oregon,No,2,High School or Below,Other,F,Suburban,Single,1,Call Center,SUV,2,P,3
59,Oregon,No,3,Master and Above,Other,F,Suburban,Single,1,Agent,Four-Door Car,2,P,1
60,Arizona,Yes,1,Bachelor,Other,M,Suburban,Single,1,Agent,Four-Door Car,2,P,1
61,California,No,3,Bachelor,Other,F,Suburban,Married,1,Call Center,Two-Door Car,1,P,3
62,Oregon,No,2,Bachelor,Unemployed,M,Suburban,Single,1,Agent,Two-Door Car,1,P,3
63,California,No,1,High School or Below,Employed,F,Rural,Married,1,Agent,SUV,2,P,3
64,Arizona,No,1,Bachelor,Unemployed,F,Suburban,Single,3,Branch,Four-Door Car,3,P,3
65,Washington,No,1,College,Employed,M,Suburban,Married,3,Web,Four-Door Car,2,P,3
66,Oregon,No,1,College,Employed,F,Suburban,Single,1,Agent,SUV,2,C,3
67,Arizona,No,2,High School or Below,Employed,F,Urban,Married,4,Branch,Two-Door Car,1,P,3
68,Oregon,Yes,2,Bachelor,Unemployed,F,Suburban,Single,1,Call Center,Two-Door Car,3,P,3
69,California,No,3,College,Other,F,Suburban,Married,3,Web,Four-Door Car,2,P,3
70,Oregon,No,1,High School or Below,Employed,M,Rural,Single,4,Agent,SUV,2,P,3
71,Oregon,No,1,Master and Above,Employed,M,Rural,Married,2,Web,Two-Door Car,3,P,2
72,Oregon,No,1,Master and Above,Other,M,Suburban,Married,1,Agent,Four-Door Car,2,P,1
73,Oregon,No,1,Bachelor,Unemployed,M,Suburban,Single,1,Agent,Luxury Car,2,P,3
74,Oregon,Yes,1,Bachelor,Employed,M,Suburban,Single,2,Branch,Two-Door Car,2,P,3
75,Oregon,No,1,Bachelor,Employed,M,Suburban,Married,2,Branch,Four-Door Car,1,P,3
76,Oregon,No,1,High School or Below,Employed,F,Rural,Single,2,Call Center,Four-Door Car,2,P,1
77,Nevada,No,1,College,Employed,M,Suburban,Married,2,Agent,Four-Door Car,2,P,1
78,Washington,No,2,College,Employed,M,Rural,Married,1,Agent,Four-Door Car,2,P,3
79,California,No,1,Bachelor,Employed,M,Rural,Single,2,Branch,Luxury Car,1,P,3
80,California,No,2,College,Unemployed,F,Rural,Single,3,Branch,Two-Door Car,3,P,3
81,California,Yes,1,High School or Below,Employed,M,Suburban,Single,2,Call Center,Four-Door Car,2,P,3
82,California,No,1,Master and Above,Employed,M,Suburban,Married,3,Branch,SUV,2,P,1
83,Nevada,No,1,Master and Above,Employed,M,Suburban,Married,2,Call Center,Four-Door Car,3,P,3
84,Oregon,No,2,College,Other,F,Suburban,Single,2,Agent,Four-Door Car,1,P,3
85,Washington,No,1,High School or Below,Employed,M,Suburban,Married,1,Call Center,Four-Door Car,2,P,2
86,California,Yes,2,College,Other,M,Suburban,Married,1,Agent,Four-Door Car,2,P,1
87,California,No,1,Bachelor,Employed,F,Urban,Married,3,Web,Four-Door Car,2,C,2
88,Oregon,No,1,Bachelor,Employed,F,Suburban,Single,3,Branch,Four-Door Car,2,P,2
89,California,Yes,2,College,Employed,M,Suburban,Married,1,Branch,Four-Door Car,2,P,3
90,Oregon,No,3,College,Other,M,Suburban,Married,2,Branch,Two-Door Car,1,P,3
91,Washington,Yes,2,Bachelor,Employed,F,Suburban,Married,2,Call Center,Two-Door Car,2,C,3
92,Oregon,No,1,Bachelor,Employed,F,Rural,Married,1,Agent,Four-Door Car,2,C,3
93,Oregon,No,1,Bachelor,Employed,M,Suburban,Married,1,Branch,Two-Door Car,1,C,1
94,California,No,2,High School or Below,Unemployed,F,Suburban,Single,1,Agent,Four-Door Car,2,P,2
95,Oregon,No,1,Bachelor,Employed,F,Suburban,Married,1,Branch,Four-Door Car,3,P,3
96,Arizona,No,1,Master and Above,Other,F,Rural,Married,1,Branch,SUV,2,P,3
97,California,No,1,Bachelor,Other,M,Suburban,Married,1,Agent,Four-Door Car,2,P,2
98,Arizona,No,1,Bachelor,Employed,F,Urban,Married,3,Web,Four-Door Car,2,P,1
99,Oregon,No,2,College,Employed,M,Suburban,Married,1,Agent,Two-Door Car,1,P,2
100,California,Yes,1,College,Unemployed,F,Suburban,Married,1,Agent,SUV,2,P,3
101,California,Yes,1,College,Unemployed,M,Suburban,Single,1,Branch,Four-Door Car,2,P,1
102,Oregon,No,1,Bachelor,Employed,M,Rural,Single,3,Call Center,Two-Door Car,2,C,3
103,California,Yes,3,College,Employed,M,Suburban,Married,2,Branch,Four-Door Car,2,P,3
104,California,No,2,High School or Below,Unemployed,F,Suburban,Single,1,Web,SUV,2,P,3
105,Oregon,No,2,Bachelor,Employed,F,Rural,Married,1,Call Center,Four-Door Car,1,P,3
106,California,No,1,Bachelor,Employed,F,Rural,Married,3,Branch,Four-Door Car,2,P,1
107,Oregon,No,1,High School or Below,Unemployed,M,Suburban,Married,1,Agent,SUV,2,P,1
108,California,No,1,Bachelor,Employed,F,Rural,Married,1,Agent,Two-Door Car,2,P,3
109,Oregon,No,1,College,Employed,M,Urban,Married,4,Agent,Four-Door Car,2,C,1
110,California,No,2,College,Employed,M,Suburban,Married,4,Agent,Four-Door Car,1,P,3
111,Washington,No,2,High School or Below,Employed,M,Suburban,Single,2,Web,Four-Door Car,1,C,2
112,Arizona,No,1,College,Employed,M,Suburban,Married,2,Branch,SUV,2,P,3
113,Oregon,No,1,Bachelor,Employed,M,Suburban,Single,1,Agent,Four-Door Car,2,P,3
114,Washington,No,1,High School or Below,Employed,M,Suburban,Married,4,Branch,Four-Door Car,2,P,2
115,California,No,1,High School or Below,Unemployed,M,Suburban,Married,1,Agent,SUV,2,C,2
116,Oregon,Yes,2,High School or Below,Other,M,Suburban,Single,2,Agent,SUV,2,P,3
117,Arizona,No,2,High School or Below,Employed,M,Suburban,Married,2,Branch,Two-Door Car,2,P,3
118,California,No,1,Bachelor,Employed,F,Suburban,Single,3,Agent,Two-Door Car,2,P,2
119,California,No,2,College,Employed,F,Urban,Married,2,Call Center,Four-Door Car,2,C,2
120,Washington,No,2,College,Unemployed,M,Suburban,Married,3,Web,Two-Door Car,2,P,2
121,California,No,1,Bachelor,Employed,M,Rural,Married,1,Call Center,Luxury Car,2,P,3
122,Oregon,No,1,High School or Below,Employed,F,Suburban,Married,3,Branch,Two-Door Car,1,P,3
123,California,No,1,High School or Below,Employed,M,Suburban,Single,3,Web,Luxury Car,2,P,3
124,Nevada,No,1,Bachelor,Employed,F,Rural,Married,1,Agent,Four-Door Car,2,P,3
125,Oregon,No,3,College,Employed,M,Suburban,Single,1,Call Center,Four-Door Car,2,P,2
126,Oregon,No,2,Master and Above,Employed,F,Rural,Single,2,Branch,Four-Door Car,2,P,3
127,Arizona,No,2,College,Employed,M,Urban,Married,1,Branch,Four-Door Car,2,S,2
128,Oregon,Yes,1,College,Other,M,Suburban,Single,2,Web,Four-Door Car,2,P,2
129,Washington,No,1,Master and Above,Unemployed,F,Rural,Married,2,Agent,Four-Door Car,2,P,1
130,Arizona,No,1,High School or Below,Employed,M,Suburban,Married,1,Agent,Luxury Car,2,P,3
131,Nevada,No,1,Bachelor,Employed,F,Rural,Married,1,Branch,Four-Door Car,2,S,2
132,Oregon,No,1,Bachelor,Employed,F,Urban,Married,1,Call Center,Four-Door Car,2,P,3
133,Arizona,No,3,College,Employed,M,Suburban,Married,1,Agent,Four-Door Car,1,P,3
134,Arizona,No,1,High School or Below,Unemployed,F,Suburban,Single,1,Web,Four-Door Car,1,C,2
135,Arizona,No,1,High School or Below,Unemployed,M,Suburban,Single,1,Agent,SUV,2,P,3
136,Oregon,No,1,High School or Below,Employed,F,Rural,Married,1,Branch,Luxury Car,2,S,2
137,Washington,No,1,College,Unemployed,F,Suburban,Single,2,Agent,Four-Door Car,1,P,2
138,Oregon,No,2,College,Employed,F,Urban,Married,4,Branch,Four-Door Car,2,P,3
139,Arizona,No,2,Bachelor,Employed,F,Urban,Single,3,Branch,Four-Door Car,1,S,3
140,Oregon,No,1,College,Unemployed,M,Suburban,Single,4,Web,Two-Door Car,3,P,1
141,Arizona,No,3,Master and Above,Employed,M,Urban,Married,1,Call Center,SUV,2,P,2
142,California,No,2,High School or Below,Unemployed,F,Suburban,Single,3,Branch,Luxury Car,2,P,2
143,Washington,No,3,High School or Below,Employed,M,Suburban,Married,3,Agent,SUV,2,C,3
144,Oregon,Yes,2,High School or Below,Unemployed,F,Suburban,Married,1,Agent,Four-Door Car,3,P,1
145,Nevada,No,2,Bachelor,Employed,M,Urban,Married,4,Web,Four-Door Car,2,C,2
146,California,No,1,College,Unemployed,F,Suburban,Married,1,Call Center,Four-Door Car,2,C,3
147,Arizona,No,1,Bachelor,Employed,F,Suburban,Single,1,Call Center,Two-Door Car,2,C,2
148,Arizona,No,2,High School or Below,Employed,F,Rural,Married,2,Web,Four-Door Car,2,P,3
149,Oregon,Yes,3,College,Unemployed,M,Suburban,Married,1,Branch,Four-Door Car,3,C,2
150,Washington,No,1,Bachelor,Employed,M,Suburban,Single,4,Branch,Four-Door Car,1,P,2
151,Washington,Yes,1,High School or Below,Employed,M,Rural,Married,2,Agent,Luxury Car,2,P,3
152,Arizona,No,2,High School or Below,Other,M,Suburban,Married,4,Agent,SUV,2,P,3
153,Arizona,No,2,Bachelor,Other,F,Rural,Married,1,Branch,SUV,2,P,1
154,California,No,1,Bachelor,Employed,F,Urban,Single,2,Branch,Four-Door Car,2,P,3
155,California,No,1,High School or Below,Employed,M,Suburban,Married,2,Web,Four-Door Car,1,P,2
156,Oregon,No,2,College,Employed,M,Rural,Single,3,Agent,Four-Door Car,2,P,2
157,Oregon,No,2,Bachelor,Employed,F,Suburban,Married,2,Agent,Four-Door Car,1,P,2
158,Arizona,Yes,1,College,Other,M,Suburban,Married,2,Agent,Luxury Car,2,P,3
159,Arizona,No,1,Bachelor,Employed,F,Rural,Married,1,Web,Two-Door Car,3,P,2
160,California,No,1,High School or Below,Unemployed,M,Suburban,Married,2,Agent,Two-Door Car,2,C,3
161,Washington,No,1,College,Employed,F,Urban,Married,1,Agent,SUV,2,P,1
162,California,Yes,1,College,Unemployed,F,Suburban,Single,1,Agent,SUV,2,P,3
163,Washington,Yes,1,Bachelor,Other,F,Suburban,Single,1,Branch,Four-Door Car,2,P,1
164,California,No,2,Bachelor,Unemployed,M,Suburban,Single,1,Agent,Four-Door Car,2,P,3
165,Oregon,No,1,Master and Above,Other,M,Suburban,Married,1,Agent,Four-Door Car,1,P,3
166,California,No,1,Bachelor,Unemployed,F,Suburban,Single,1,Agent,Four-Door Car,1,P,3
167,California,Yes,1,High School or Below,Unemployed,F,Suburban,Single,1,Agent,Four-Door Car,1,P,1
168,Oregon,No,2,High School or Below,Employed,F,Urban,Single,3,Agent,Four-Door Car,2,P,2
169,California,No,1,High School or Below,Unemployed,F,Suburban,Married,1,Agent,Four-Door Car,2,P,2
170,California,No,1,College,Other,M,Suburban,Married,4,Branch,Four-Door Car,2,P,1
171,Oregon,No,3,Master and Above,Other,F,Urban,Single,2,Agent,Four-Door Car,2,P,3
172,Nevada,No,1,College,Employed,F,Rural,Single,3,Agent,Four-Door Car,2,P,3
173,Nevada,No,1,College,Unemployed,F,Suburban,Married,3,Agent,Four-Door Car,1,P,2
174,California,Yes,1,High School or Below,Employed,M,Suburban,Single,2,Call Center,Four-Door Car,2,P,2
175,California,No,1,Bachelor,Employed,F,Rural,Married,2,Call Center,Luxury Car,2,P,2
176,Washington,No,1,College,Employed,F,Rural,Married,2,Agent,SUV,2,P,2
177,Arizona,No,1,Bachelor,Employed,F,Urban,Married,2,Call Center,Two-Door Car,2,P,3
178,Washington,No,1,College,Unemployed,F,Suburban,Single,3,Web,Two-Door Car,2,P,3
179,California,No,1,Bachelor,Employed,F,Suburban,Single,2,Call Center,Luxury Car,1,P,2
180,California,No,3,Bachelor,Unemployed,F,Suburban,Married,1,Agent,Four-Door Car,2,P,2
181,Nevada,No,2,Bachelor,Employed,F,Suburban,Married,3,Branch,Luxury Car,2,P,3
182,Oregon,No,1,High School or Below,Employed,M,Suburban,Married,2,Branch,Four-Door Car,3,P,2
183,Nevada,No,2,Bachelor,Employed,M,Suburban,Single,4,Agent,Four-Door Car,1,P,2
184,California,No,1,Bachelor,Unemployed,M,Suburban,Single,1,Agent,SUV,2,P,3
185,California,No,1,High School or Below,Employed,F,Suburban,Single,3,Call Center,SUV,1,P,3
186,California,No,1,College,Employed,F,Suburban,Single,2,Branch,SUV,2,C,3
187,Arizona,Yes,2,Bachelor,Employed,F,Suburban,Married,2,Agent,SUV,2,P,1
188,California,No,2,Bachelor,Employed,F,Urban,Single,3,Branch,Four-Door Car,2,P,1
189,Oregon,No,2,College,Employed,M,Urban,Married,3,Branch,Four-Door Car,2,P,3
190,California,No,1,Master and Above,Employed,M,Urban,Married,4,Web,SUV,2,S,2
191,California,No,1,High School or Below,Unemployed,F,Suburban,Single,4,Branch,Two-Door Car,1,S,3
192,California,No,1,Bachelor,Employed,M,Suburban,Married,2,Branch,Two-Door Car,2,P,3
193,Oregon,No,1,Bachelor,Employed,F,Suburban,Married,4,Agent,Two-Door Car,1,P,2
194,Arizona,No,1,High School or Below,Unemployed,F,Suburban,Single,1,Branch,Four-Door Car,1,P,2
195,Washington,No,2,Bachelor,Employed,F,Suburban,Married,1,Agent,Four-Door Car,1,P,3
196,Oregon,No,3,High School or Below,Employed,M,Suburban,Single,4,Web,Luxury Car,2,C,3
197,Oregon,No,1,Bachelor,Employed,M,Rural,Single,1,Branch,Four-Door Car,2,S,3
198,Washington,No,2,High School or Below,Unemployed,F,Suburban,Single,3,Branch,Two-Door Car,2,P,1
199,California,Yes,2,College,Employed,M,Suburban,Married,1,Branch,Four-Door Car,2,P,1
200,California,No,3,Master and Above,Other,F,Suburban,Single,1,Call Center,SUV,2,P,1
201,Nevada,Yes,2,Bachelor,Other,F,Suburban,Single,1,Agent,SUV,2,P,3
202,Arizona,No,1,High School or Below,Employed,F,Suburban,Married,2,Call Center,Four-Door Car,2,C,1
203,California,No,1,College,Unemployed,M,Suburban,Single,1,Agent,SUV,2,P,2
204,California,No,1,High School or Below,Unemployed,M,Suburban,Single,1,Call Center,Four-Door Car,2,P,2
205,California,No,1,College,Unemployed,M,Suburban,Single,1,Agent,SUV,2,P,2
206,California,No,1,College,Employed,F,Urban,Married,2,Branch,Four-Door Car,2,P,1
207,California,No,3,College,Employed,M,Suburban,Married,1,Branch,SUV,1,C,2
208,Oregon,No,1,High School or Below,Employed,F,Suburban,Single,2,Agent,SUV,2,C,3
209,Washington,No,2,Bachelor,Employed,F,Rural,Married,3,Web,Four-Door Car,2,P,3
210,California,No,2,High School or Below,Employed,M,Suburban,Single,2,Agent,Two-Door Car,1,P,3
211,California,Yes,1,College,Other,M,Suburban,Single,1,Agent,Four-Door Car,2,S,3
212,Washington,No,2,College,Employed,M,Urban,Married,2,Web,Two-Door Car,1,C,3
213,California,No,1,High School or Below,Employed,F,Urban,Single,1,Agent,Four-Door Car,2,S,3
214,Arizona,No,1,College,Employed,M,Suburban,Single,4,Agent,Four-Door Car,1,P,1
215,Oregon,No,2,College,Employed,F,Suburban,Married,4,Call Center,Four-Door Car,3,C,1
216,Oregon,No,3,College,Employed,M,Urban,Married,4,Agent,Luxury Car,1,C,3
217,Oregon,Yes,2,High School or Below,Other,F,Suburban,Married,1,Agent,Two-Door Car,1,S,3
218,Washington,Yes,1,High School or Below,Unemployed,F,Suburban,Single,1,Web,Luxury Car,2,P,3
219,California,No,1,College,Employed,M,Suburban,Married,2,Branch,Four-Door Car,2,P,1
220,Oregon,No,1,Bachelor,Employed,F,Suburban,Married,3,Branch,Four-Door Car,2,P,2
221,California,No,1,Bachelor,Employed,M,Suburban,Single,1,Call Center,Four-Door Car,2,P,2
222,Nevada,No,1,High School or Below,Employed,M,Suburban,Single,1,Call Center,Four-Door Car,1,P,1
223,Washington,Yes,2,High School or Below,Employed,M,Suburban,Single,2,Branch,Two-Door Car,1,P,3
224,Oregon,No,1,College,Other,F,Suburban,Married,2,Call Center,SUV,1,P,3
225,Oregon,No,2,College,Employed,F,Suburban,Married,3,Branch,Four-Door Car,2,P,3
226,Nevada,No,1,College,Unemployed,M,Suburban,Single,1,Branch,Two-Door Car,2,P,1
227,Nevada,Yes,1,High School or Below,Employed,F,Rural,Single,2,Agent,Four-Door Car,2,C,3
228,Arizona,No,1,High School or Below,Employed,M,Urban,Married,1,Agent,SUV,1,C,3
229,California,No,1,Bachelor,Other,M,Suburban,Married,1,Agent,Four-Door Car,1,C,1
230,Arizona,Yes,1,Bachelor,Unemployed,F,Suburban,Married,1,Call Center,Four-Door Car,2,C,1
231,Arizona,Yes,1,College,Employed,M,Urban,Single,2,Agent,Two-Door Car,2,P,3
232,Arizona,No,2,High School or Below,Employed,M,Urban,Married,1,Agent,Four-Door Car,2,P,2
233,Oregon,No,3,Bachelor,Unemployed,F,Suburban,Married,1,Web,SUV,1,P,3
234,Arizona,No,1,High School or Below,Unemployed,M,Suburban,Married,3,Call Center,Two-Door Car,2,P,3
235,California,No,1,Bachelor,Employed,M,Suburban,Married,1,Branch,Two-Door Car,1,P,3
236,California,No,1,Bachelor,Employed,F,Rural,Married,1,Web,Four-Door Car,3,P,2
237,Washington,No,2,College,Employed,M,Urban,Single,2,Branch,SUV,3,C,1
238,Washington,No,1,College,Unemployed,M,Suburban,Single,2,Agent,Four-Door Car,1,P,3
239,Washington,No,1,Bachelor,Employed,F,Suburban,Single,2,Agent,Four-Door Car,1,P,3
240,Nevada,No,1,High School or Below,Employed,F,Suburban,Married,2,Agent,Two-Door Car,1,C,3
241,Arizona,No,1,College,Employed,F,Rural,Married,3,Agent,Four-Door Car,3,P,1
242,Oregon,No,1,College,Unemployed,F,Suburban,Single,1,Branch,Four-Door Car,1,C,3
243,California,No,2,College,Employed,M,Suburban,Married,2,Web,Two-Door Car,3,P,2
244,California,No,2,College,Unemployed,F,Suburban,Single,1,Agent,Two-Door Car,2,P,1
245,California,No,2,Bachelor,Other,M,Suburban,Single,3,Agent,Two-Door Car,2,C,2
246,Arizona,No,1,Bachelor,Employed,F,Suburban,Single,4,Agent,Four-Door Car,2,P,1
247,Arizona,No,2,High School or Below,Unemployed,F,Suburban,Married,4,Call Center,Four-Door Car,1,P,2
248,Oregon,No,2,Bachelor,Unemployed,M,Suburban,Single,1,Branch,Luxury Car,2,C,3
249,California,No,1,Master and Above,Employed,M,Suburban,Married,1,Call Center,Four-Door Car,2,P,2
250,Arizona,No,3,High School or Below,Other,F,Suburban,Single,3,Web,Two-Door Car,2,P,3
251,Nevada,No,1,Bachelor,Employed,F,Suburban,Single,1,Call Center,Two-Door Car,2,P,3
252,Arizona,No,1,Master and Above,Employed,M,Suburban,Single,1,Call Center,SUV,2,P,3
253,Washington,Yes,1,College,Other,F,Suburban,Single,1,Agent,SUV,1,P,3
254,Oregon,No,2,Bachelor,Employed,M,Urban,Married,4,Call Center,Four-Door Car,3,P,3
255,Nevada,Yes,2,High School or Below,Other,M,Suburban,Single,2,Agent,SUV,2,P,3
256,Oregon,No,2,Bachelor,Employed,F,Urban,Married,1,Agent,SUV,2,P,3
257,California,No,1,Master and Above,Employed,F,Urban,Married,2,Call Center,Two-Door Car,1,P,3
258,Washington,No,2,Bachelor,Employed,M,Suburban,Married,3,Branch,Four-Door Car,2,P,3
259,Oregon,No,1,Bachelor,Employed,F,Rural,Single,1,Agent,Four-Door Car,2,C,3
260,California,No,1,Bachelor,Unemployed,M,Suburban,Married,1,Agent,Four-Door Car,1,P,1
261,California,No,1,College,Employed,F,Rural,Married,1,Web,Four-Door Car,2,P,1
262,Arizona,No,1,College,Other,F,Suburban,Single,1,Web,Four-Door Car,2,P,2
263,Arizona,No,1,High School or Below,Employed,M,Suburban,Married,2,Agent,Four-Door Car,2,P,2
264,California,No,2,Bachelor,Employed,M,Suburban,Married,1,Agent,Four-Door Car,1,P,1
265,Oregon,No,1,College,Other,M,Rural,Married,1,Web,Four-Door Car,2,C,1
266,Arizona,No,2,Master and Above,Employed,F,Rural,Single,2,Call Center,Four-Door Car,2,C,3
267,Arizona,No,1,Bachelor,Employed,F,Suburban,Married,1,Agent,Two-Door Car,1,P,2
268,California,No,2,College,Employed,M,Rural,Married,4,Agent,Four-Door Car,2,C,1
269,Arizona,No,1,High School or Below,Unemployed,F,Suburban,Single,2,Call Center,Luxury Car,2,C,3
270,Nevada,No,1,Master and Above,Other,F,Rural,Married,1,Call Center,Two-Door Car,2,P,3
271,Washington,No,1,High School or Below,Unemployed,M,Suburban,Single,1,Branch,SUV,2,P,1
272,Oregon,No,3,High School or Below,Employed,M,Suburban,Married,4,Call Center,Four-Door Car,2,P,3
273,Arizona,No,2,High School or Below,Unemployed,F,Suburban,Married,1,Agent,Luxury Car,1,P,3
274,Washington,No,2,Bachelor,Employed,F,Suburban,Married,2,Agent,SUV,2,P,2
275,Oregon,No,1,Master and Above,Other,M,Rural,Married,1,Web,Two-Door Car,2,S,3
276,Arizona,No,3,College,Employed,M,Suburban,Single,1,Branch,Four-Door Car,2,C,2
277,Arizona,No,3,High School or Below,Employed,F,Rural,Married,3,Agent,Four-Door Car,2,P,3
278,California,No,2,College,Unemployed,M,Suburban,Single,3,Branch,Two-Door Car,2,P,3
279,Oregon,No,2,High School or Below,Employed,F,Suburban,Married,2,Branch,Two-Door Car,2,P,3
280,Nevada,No,2,College,Unemployed,M,Urban,Single,1,Web,Four-Door Car,2,P,2
281,California,No,1,Bachelor,Unemployed,M,Suburban,Married,4,Web,Two-Door Car,2,P,2
282,Nevada,No,1,High School or Below,Employed,M,Suburban,Married,1,Agent,Four-Door Car,1,P,3
283,Washington,No,1,Bachelor,Employed,M,Suburban,Married,1,Agent,Two-Door Car,2,P,1
284,Washington,No,3,Bachelor,Employed,M,Rural,Single,1,Branch,Two-Door Car,2,P,2
285,Arizona,No,2,High School or Below,Employed,F,Suburban,Married,2,Call Center,Four-Door Car,2,P,3
